2023-02-11 17:21:12,157 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:33:39,315 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:33:41,813 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:35:34,144 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:35:40,282 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:35:46,768 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:37:12,865 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-02-11 17:37:48,393 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:38:00,366 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:38:56,214 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:38:59,104 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:39:08,496 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:39:50,195 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:39:52,754 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:50:31,055 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:50:52,205 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:50:54,704 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:51:09,902 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:51:33,821 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:51:38,409 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:51:51,896 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:52:22,300 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:52:24,762 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:52:37,589 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:59:32,509 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:59:35,061 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 18:00:42,146 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-13 15:40:48,561 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
